10032:5358,7622,3019,459,2019,4559,5082,4034,2976,4374
10034:7046,4881,3840,299,7353,8486,7537,1475,3177,4783
10042:4034,4559,1366,4374,3470,5402,771,2129,3551,1000
10046:67748,662,16406,53485,68109,20016,45955,50126,12611,9365
10074:6131,3817,7639,3932,6083,6183,190,1496,3373,1470
10084:5931,5236,6978,6001,3343,5231,5283,1625,7133,6152
10088:4444,35609,8906,9601,719,1799,1856,30809,29314,6561
1013:4236,3077,4436,4402,3095,1517,4367,2449,980,2956
10142:4007,1710,3134,2226,4382,3866,42,1913,2465,2500
10158:4106,76,1068,69,2882,4028,4653,412,2373,1438
10160:607,37478,14757,40526,45852,24913,49627,26324,18662,10884
10166:4280,406,3324,1872,1847,570,2723,404,4356,1869
10169:3862,3775,2541,3570,452,3423,3914,1707,2880,888
102:500,666,2683,4742,1858,872,466,326,1882,338
1021:6235,608,2050,1090,5071,7418,4935,2422,6097,1479
10212:6827,6582,3149,18192,21789,2753,4673,32693,713,17840
10224:6607,2005,7855,3646,8078,5141,1962,2879,3050,1342
10252:881,4661,4223,813,2779,450,570,2396,2026,1529
10264:49,4672,4693,93,1028,2463,2003,4723,4683,549
1027:4027,3672,330,1118,4086,1772,202,333,4161,4033
10315:7957,2062,3473,7291,6707,373,6368,1799,7233,5577
1038:6407,2167,3000,7665,5517,623,3324,3321,2573,2939
1039:7388,1471,8342,13262,3674,5436,23250,30420,4606,7678
1042:988,1819,2661,607,535,604,300,4834,1678,898
10426:7684,2686,1702,38920,5892,5626,14058,9803,37086,7238
10434:7693,4119,15440,9350,7709,36766,8372,2859,13226,4351
10450:3350,1513,10661,7547,2892,24999,3863,4081,11079,539
1046:6502,2087,8393,5005,6405,6838,6346,6650,6667,234
10476:5588,717,29680,22545,1195,13248,22666,26760,7123,11575
10486:2971,26822,3463,15410,1319,48,25798,11004,3619,4061
10499:4756,4703,1000,2654,2711,1534,2591,742,1958,133
10511:6567,4928,4930,4441,5745,634,4005,5092,711,7719
10514:4671,230,2602,1431,1298,2206,2614,3,1214,2221
1052:4286,557,3754,575,27017,3145,3475,26829,7138,2009
1053:6670,2376,2248,6265,60,1745,6124,6706,4219,1912
1054:50765,18878,42207,68052,21928,68967,20517,7807,1285,39100
10547:6256,2112,6735,3667,1717,7680,7177,2065,145,3646
10556:6317,7170,6767,508,4526,6084,4975,4860,872,2504
10574:6572,4432,762,7964,8048,3242,6838,3857,2543,847
10575:4105,763,1803,2593,3975,4979,3770,857,2276,5027
10595:5873,4475,5107,373,3857,4751,6838,5378,2477,1456
10603:5213,2763,5729,2515,6822,6288,6621,4942,5803,4770
10623:369,1131,556,2536,41,1677,631,761,1401,949
10626:50813,52321,898,8271,26730,46643,16550,14799,25022,36394
10633:6559,29206,26775,2841,8812,12591,5211,7483,12337,25985
10669:4046,3616,744,3970,4078,2691,2878,1791,4527,1574
10682:85,3633,4004,4176,4473,2842,2535,218,1259,606
10685:468,4300,277,4782,4686,3441,2547,4262,1928,5158
1073:53957,5285,21460,24135,18257,6693,56005,8485,12857,55466
1075:7891,56658,21735,20574,10581,18940,11309,16,53136,37730
10750:5732,5168,7374,20290,22763,13824,24106,13074,3894,1251
10768:725,2962,3881,3345,1841,2037,379,1798,3016,16
